,e1,e2,sim
0,http://dbpedia.org/resource/Ross_Docherty,http://yago-knowledge.org/resource/Ross_Docherty,1.0
1,http://dbpedia.org/resource/Dirk_Orlishausen,http://yago-knowledge.org/resource/Dirk_Orlishausen,1.0
2,http://dbpedia.org/resource/Daniel_Mariano_Bueno,http://yago-knowledge.org/resource/Daniel_Mariano_Bueno,1.0
3,http://dbpedia.org/resource/Gorenje_Kamence,http://yago-knowledge.org/resource/Gorenje_Kamence,1.0
4,http://dbpedia.org/resource/Burkina_Faso_national_football_team,http://yago-knowledge.org/resource/Burkina_Faso_national_football_team,1.0
5,http://dbpedia.org/resource/Javier_Smith,http://yago-knowledge.org/resource/Javier_Smith,1.0
6,http://dbpedia.org/resource/Thomas_Sobotzik,http://yago-knowledge.org/resource/Thomas_Sobotzik,1.0
7,http://dbpedia.org/resource/Sun_Jiangshan,http://yago-knowledge.org/resource/Sun_Jiangshan,1.0
8,http://dbpedia.org/resource/Mohammad_Hassan_Ansarifard,http://yago-knowledge.org/resource/Mohammad_Hassan_Ansarifard,1.0
9,http://dbpedia.org/resource/Gaga'ifomauga,http://yago-knowledge.org/resource/Gaga'ifomauga,1.0
10,"http://dbpedia.org/resource/Union_City,_Michigan","http://yago-knowledge.org/resource/Union_City,_Michigan",1.0
11,http://dbpedia.org/resource/Club_Deportivo_ESPOLI,http://yago-knowledge.org/resource/Club_Deportivo_ESPOLI,1.0
12,"http://dbpedia.org/resource/Loudon,_New_Hampshire","http://yago-knowledge.org/resource/Loudon,_New_Hampshire",1.0
13,http://dbpedia.org/resource/Gareth_Risbridger,http://yago-knowledge.org/resource/Gareth_Risbridger,1.0
14,http://dbpedia.org/resource/Bruno_Pizzul,http://yago-knowledge.org/resource/Bruno_Pizzul,1.0
15,http://dbpedia.org/resource/James_Caine,http://yago-knowledge.org/resource/James_Caine,1.0
16,http://dbpedia.org/resource/Mattoor,http://yago-knowledge.org/resource/Mattoor,1.0
17,http://dbpedia.org/resource/Londrina_Esporte_Clube,http://yago-knowledge.org/resource/Londrina_Esporte_Clube,1.0
18,http://dbpedia.org/resource/Carl_Hoefkens,http://yago-knowledge.org/resource/Carl_Hoefkens,1.0
19,http://dbpedia.org/resource/Kurt_Kuykendall,http://yago-knowledge.org/resource/Kurt_Kuykendall,1.0
20,http://dbpedia.org/resource/Darijo_Srna,http://yago-knowledge.org/resource/Darijo_Srna,1.0
21,http://dbpedia.org/resource/Egoitz_Jaio_Gabiola,http://yago-knowledge.org/resource/Egoitz_Jaio_Gabiola,1.0
22,http://dbpedia.org/resource/Blaenau_Gwent,http://yago-knowledge.org/resource/Blaenau_Gwent,1.0
23,http://dbpedia.org/resource/Dave_Ewing,http://yago-knowledge.org/resource/Dave_Ewing,1.0
